26423590122	6367802040	6456637386	-28473427	691129
6367802040	25826549542	4110746062	1382258	-25312015
6456637386	4110746062	10230805363	-12656007	-4959402
-28473427	1382258	-12656007	166366579	15140751
691129	-25312015	-4959402	15140751	105714768
12117646031	6013190178	3835468987	-3186292	3283460
6013190178	15341875949	4645682962	6566920	-9613674
3835468987	4645682962	6630715174	-4806837	-1306178
-3186292	6566920	-4806837	106714396	21333279
3283460	-9613674	-1306178	21333279	78533735
22558200180	7388652965	6038954816	27257166	-9143871
7388652965	24155819264	5183884190	-18287742	-14025342
6038954816	5183884190	9861864997	-7012671	-15532588
27257166	-18287742	-7012671	152612158	19930956
-9143871	-14025342	-15532588	19930956	102860252
18804621458	7330551029	5401771405	-30607476	-10591104
7330551029	21607085618	5426793936	-21182208	-29410580
5401771405	5426793936	9018650055	-14705290	-23642670
-30607476	-21182208	-14705290	137527923	21670222
-10591104	-29410580	-23642670	21670222	96033480
15556634136	7114985077	4869947979	8722430	3120675
7114985077	19479791916	5562483385	6241349	5891467
4869947979	5562483385	8534926362	2945733	6522773
8722430	6241349	2945733	123714678	22789934
3120675	5891467	6522773	22789934	91728482
12848561971	6410929983	4190203031	-4875997	-2096708
6410929983	16760812124	5030044493	-4193417	-686749
4190203031	5030044493	7905252126	-343374	-15384295
-4875997	-4193417	-343374	109935987	21244126
-2096708	-686749	-15384295	21244126	86893352
53555369908	-11305294967	12547977654	-35137367	-2260573
-11305294967	50191910617	-7224823871	-4521146	29302111
12547977654	-7224823871	19473611104	14651055	-14044109
-35137367	-4521146	14651055	256619848	-21772164
-2260573	29302111	-14044109	-21772164	156268634
52205371402	-7933547924	12055397886	30258445	-14817040
-7933547924	48221591545	-4696095632	-29634080	29432075
12055397886	-4696095632	18826462902	14716037	-2340228
30258445	-29634080	14716037	251051129	-14504277
-14817040	29432075	-2340228	-14504277	153069729
51123674537	-3891698733	11932015921	31148498	-5182307
-3891698733	47728063684	-2509384834	-10364613	21901502
11932015921	-2509384834	18829844690	10950751	-16141771
31148498	-10364613	10950751	247644295	-7078843
-5182307	21901502	-16141771	-7078843	153040187
50265153172	-216654666	11831864803	16221623	16524515
-216654666	47327459212	-388783452	33049029	-34640356
11831864803	-388783452	18914582878	-17320178	24318349
16221623	33049029	-17320178	246612466	-1533927
16524515	-34640356	24318349	-1533927	154402415
45795479189	3773779298	11158124140	-21512167	6136633
3773779298	44632496560	2719734678	12273266	28728697
11158124140	2719734678	18181575364	14364348	10431767
-21512167	12273266	14364348	232763860	8291804
6136633	28728697	10431767	8291804	150250861
42054501241	7087206166	10458469330	-12704989	-16424781
7087206166	41833877322	4866888248	-32849562	-66690538
10458469330	4866888248	17348333546	-33345269	-33145262
-12704989	-32849562	-33345269	223554039	15190461
-16424781	-66690538	-33145262	15190461	145404055
36134357678	8818818815	9563596614	-40949836	-5095423
8818818815	38254386456	6333189157	-10190847	4676419
9563596614	6333189157	16375152652	2338209	-15841863
-40949836	-10190847	2338209	205018827	19976519
-5095423	4676419	-15841863	19976519	139306571
14329229400	7384476586	4927394473	8500058	-3862393
7384476586	19709577892	5920968872	-7724786	-1952954
4927394473	5920968872	9487303412	-976477	2787005
8500058	-7724786	-976477	118549093	23589870
-3862393	-1952954	2787005	23589870	97134960
29641104105	9949444277	8518567275	8029881	4832522
